JLPT,,JAP-RULE,JAP-PRON,ROMAJI-RULE,DEFINITION,IMPL,EXAMPLES,,COLOR
N1,https://jlptsensei.com/,XがXなら、YもYだ,,[x] ga [x] nara [y] mo [y] da,"like [father] like [son] (negative meaning)
XがXなら、YもYだ
XもXなら、YもYだ
X = Noun 1
Y = Noun 2",1,"子供が子供なら、親も親だ。
あのカフェは、味も味なら、サービスもサービスだ。
自分の子供が問題を起こして学校に呼び出されているのに、それを無視する親がいる。子供が子供なら親も親だ。",,#800000
N1,https://japanesetest4you.com/,案の定,,an no jou,"just as one thought; sure enough
案の定 + phrase",1,"あの堤防は、案の定今回の台風で決壊してしまった。
案の定、山田さんだった。
彼女は車庫へと駆け出した。案の定、父の車はなかった。",,#800000
N1,https://jlptsensei.com/,あっての,,atte no,"which owes everything to
Noun1 + あっての + Noun2",1,"健康な体あっての人生です。
お客様あっての仕事だから、言葉遣いに気を付けてください。
私の幸せは家族あってのものだ。みんな病気をせず元気でいてほしい。",,#800000
N1,https://japanesetest4you.com/,それまでだ,,ba sore made da,"if… then it’s over
Verb (ば conditional) + それまでだ",1,"この機械は水に弱い。水がかかればそれまでだ。
どんなに美しい花でも、散ってしまえばそれまでだ。",,#808000
N1,https://japanesetest4you.com/,べからず,,bekarazu,"must not; should not; do not
Verb (dictionary form) + べからず/べからざる",1,"経営者にとって決断力は欠くべからざるものである。
ここまで来るはよいが、先へ進むべからず。
関係者以外立ち入るべからず。",,#808000
N1,https://japanesetest4you.com/,べく,,beku,"in order to; for the purpose of
Verb (dictionary form) + べく
Exception: する => するべく/すべく",1,"彼はサッカー選手になるべく、毎日厳しい練習をしている。
ウイルスの感染経路を明らかにすべく調査が行われた。
恩師に会うべく、久し振りに母校を訪れた。",,#808000
N1,https://japanesetest4you.com/,べくもない,,beku mo nai,"can’t; cannot possibly be
Verb (dictionary form) + べくもない
Exception: する => すべくもない",1,"それは、否定すべくもない。
この絵が偽者であることなど、素人のわたしは知るべくもない。
彼が衝撃を受けているのは疑うべくもない。",,#808000
N1,https://japanesetest4you.com/,びる,,biru,"seeming to be; behaving as
Noun/い-adjective #い# + びる/びて
Noun/い-adjective #い# + びた + Noun
Exception: 古い => 古びた; 悪い => 悪びれる",1,"彼の片手には屋根部屋のにちがいない古びたさびだらけの鍵をもっている。
市中にちかい割に田舎びた閑静な場所です。
彼は中学生になったとたん、大人びたことを言うようになった。",funktioniert nicht da tokenizer,#808000
N1,https://japanesetest4you.com/,ぶり,,buri,"style; manner
Verb #ます# (stem form) + ぶり/っぷり
Noun + ぶり",1,"だいぶ驚かしてしまったようですね。まず、わたしの怠慢ぶりで。それから、わたしの考え方で。
自分のチームの信頼性を疑われたとでも言いたげな口ぶりだ。
みんなが彼女の笑いっぶりを見ている。",,#808000
N1,https://japanesetest4you.com/,だに,,dani,"Even
Verb (dictionary form) + だに
Noun + だに",1,"こんなことになるとは、夢にだに思わなかった。
思い出すだに怒りで熱くなる。
全国にこの病気が広まったら、百万人もの人が死ぬなど、想像するだに恐ろしい。",,#008000
N1,https://jlptsensei.com/,だの～だの,,dano~dano,"and; and the like; and so forth
Pattern
[A] + だの + [B] + だの

Conjugations
Verb + だの
Noun (だった) + だの
な-adjective (だった) + だの
い-adjective + だの",1,"僕の毎月の小遣いは、飲み会だのカラオケだので消えていく。
彼女は、風邪を引いただの、頭が痛いだのと言って、よく授業を休む。
彼女は立派な家に住んでいるのに、掃除が大変だのキッチンが使いにくいだのと文句ばかり言っている。",,#008000
N1,https://jlptsensei.com/,であれ/であろうと,,de are/de arou to,"whoever / whatever / however
Noun + であれ/であろうと",1,"嘘をつくとは、どんな理由であれ、許されないことだ。
彼女が誰であれ、特別扱いするのはダメでしょう。
どの大学であろうと、進学先が決まってほっとした。",,#008000
N1,https://jlptsensei.com/,であれ～であれ,,de are~de are,"whether [A] or [B]
Noun / な-adjective + であれ + Noun / な-adjective + であれ
Noun / な-adjective + であろうと + Noun / な-adjective + であろうと",,,,#008000
N1,https://japanesetest4you.com/,でも何でもない,,demo nan demo nai,"not in the least
Noun/な-adjective + でも何でもない",1,"あなたがそれをいかに見るかによりけりですよ。ある角度から見れば偶然の符合でも何でもない。
彼は病気でも何でもない。ただずる休みしたいだけかもしれない。
これはただの石で、金目のものでも何でもありません。",,#008000
N1,https://japanesetest4you.com/,でなくてなんだろう,,denakute nan darou,"must be; is definitely
Noun + でなくてなんだろう",1,"戦争で多くの人が殺されているとは、悲劇でなくてなんだろう。
このようなところに道路を作るのは、税金の無駄遣いでなくてなんだろう。
彼女に対するこの気持ちは、愛でなくてなんだろう。",,#008000
N1,https://japanesetest4you.com/,ではあるまいか,,dewa aru mai ka,"I wonder if it’s not…
Verb (casual form) + のではあるまいか
Noun + ではあるまいか
な-adjective + ではあるまいか",1,"あの男の父親がジョンソンのために没落したのではあるまいか。
このごろはあまり彼の姿を見かけない。どこかへ行ってしまったのではあるまいか。
彼女は変わり者の友だちを怒らせたのではあるまいかと心配になった。",,#008000
N1,https://japanesetest4you.com/,ではあるまいし,,dewa aru mai shi,"it’s not like; it isn’t as if
Verb + ではあるまいし/じゃあるまいし
Noun + ではあるまいし/じゃあるまいし",1,"子供じゃあるまいし、もう泣くのをよして。
面接試験は初めてではあるまいし、どうしてそんなに緊張するの？
子供ではあるまいし、暗いところが怖いなんて、おかしいね。",,#008000
N1,https://japanesetest4you.com/,ではすまない,,dewa sumanai,"it doesn’t end with just…
Noun + ではすまない/ではすまされない
Verb (casual form) + ではすまない/ではすまされない",1,"どういうつもりか知らないが、あなたは免職どころではすまないぞ。
課長である以上、そんな大事なことを知らなかったではすまされないだろう。
この事件で、これまでのように単なる不安感ではすまなくなり、パニック状態が起こった。",,#008000
N1,https://japanesetest4you.com/,どうにも,,dou nimo~nai,"not … by any means; no matter how hard one tries, cannot…
どうにも + Verb (ない form)",1,"彼はどうにも身の置き場がないような様子だ。
僕はこれがどうにも理解できない。
どうにも寝つかれないものですから、あきらめて読みかけの小説でも読むつもりで、起きて電気をつけました。",,#008000
N1,https://jlptsensei.com/,が早いか,がはやいか,ga hayai ka,"as soon as~
Verb (dictionary) + が早いか",1,"その人は、信号の色が変わるが早いか、走り出した。
デパートが開店するが早いか、主婦たちが特売場に押し寄せた。
隣席のクラスメイトは、授業の終わりのベルが鳴るが早いか、教室を出て行った。",,#000080
N1,https://jlptsensei.com/,がてら,,gatera,"while; on the same occasion; at the same time; coincidentally~
Noun + がてら
Verb #ます# + がてら",1,"散歩がてら、コンビニに行ってくるよ。
遊びがてらお立ち寄りください。
新年会の下見がてら飲みに行った居酒屋は、あまりよくなかった。",,#000080
N1,https://japanesetest4you.com/,ごとき/ごとく,,gotoki/gotoku,"like; as if; the same as
Verb (casual form) + ごとく
Noun + のごとく/ごとき",1,"パトカーはサイレンを鳴らしてナイフのごとく車の群れを切り裂きました。
泥棒が脱兎のごとく店を飛び出した。
今回のごとき事件は二度と起こしてはならない。",,#000080
N1,https://jlptsensei.com/,ぐるみ,,gurumi,"together (with); -wide
Noun + ぐるみ",1,"私たちは家族ぐるみで仲良くしている。
町ぐるみで自然環境の保全に努めている。
その企業が会社ぐるみで脱税をしてたのが発覚した。",,#000080
N1,https://japanesetest4you.com/,羽目になる,はめになる,hame ni naru,"to end up with (something unpleasant)
Verb (dictionary form) + 羽目になる",1,"彼はこれで落ちつくねぐらも愛する女も、いっぺんに失う羽目になった。
うっかりしてデータを消してしまったので、もう一度入力する羽目になった。
この家で何かがおかしくなると、やはり僕がとがめられる羽目になった。",,#9acd32
N1,https://japanesetest4you.com/,ほかに～ない,,hoka ni~nai,"no other; nothing else
ほかに + Verb (ないform)",1,"愛はほかに類のない携行可能な魔法だ。
こうするほかに選択の余地はないんだわ。
それだけ？ほかに条件はないんですか？",,#9acd32
N1,https://japanesetest4you.com/,ほうがましだ,,hou ga mashi da,"would rather
Verb (casual) + ほうがましだ",1,"大阪で警察に逮捕されたほうがましだったかもしれないと思う。
あんなことになるなら、死んだほうがましだ。
そんな奴なら、死んだ方がましだ。",,#9acd32
N1,https://japanesetest4you.com/,いかんでは,,ikan dewa,"depending on
Noun + いかんだ/いかんで (は)/いかんによって (は)",1,"出席状況・学業成績のいかんでは、奨学金の支給を停止することもある。
筆記試験はパスした。明日の面接の結果いかんで採用が決まるそうだ。
成功するかどうかはみんなの努力いかんだ。",,#8fbc8f
N1,https://japanesetest4you.com/,いかなる,,ikanaru,"any kind of
いかなる + Noun",1,"信仰にはいかなる物質的な裏づけも必要無い。
彼がいかなる理由で、突然に考えを変えたかはうかがい知ることはできない。
面接の結果についてはいかなる点から考えても満足すべきものだ。",,#8fbc8f
N1,https://japanesetest4you.com/,いかにも,,ikanimo,"indeed; really
いかにも + sentence",1,"姉がいかにも満足そうに、明るい様子に見えた。
小さな娘はいかにもうまく泣きだした。
いかにも鈴木さんはあまり口をききませんでした。",,#8fbc8f
